element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team,web_name,element_type
1,1,7,0,False,2022-08-05T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,23970,0,0,1,Cédric,2
2,4,12,0,True,2022-08-06T11:30:00Z,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,116351,0,0,9,Leno,1
3,1,7,2,False,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,1,0,0,0,12,16.6,15.0,2.0,3.4,50,0,48303,0,0,1,Xhaka,3
4,1,7,0,False,2022-08-05T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,86132,0,0,1,Elneny,3
5,1,7,0,False,2022-08-05T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,14331,0,0,1,Holding,2
6,1,7,3,False,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,0,0,17,22.6,12.9,10.0,4.6,50,0,39617,0,0,1,Partey,3
7,1,7,3,False,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,0,0,9,3.4,8.3,23.0,3.5,65,0,1133257,0,0,1,Ødegaard,3
8,1,7,1,False,2022-08-05T19:00:00Z,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,3,6.0,0.2,0.0,0.6,50,0,105345,0,0,1,Tierney,2
9,1,7,0,False,2022-08-05T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,30199,0,0,1,Pépé,3
10,1,7,5,False,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,1,0,0,0,25,31.4,12.0,0.0,4.3,45,0,533085,0,0,1,White,2
11,1,7,1,False,2022-08-05T19:00:00Z,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,4,2.2,10.3,0.0,1.3,70,0,67198,0,0,1,Nketiah,4
12,1,7,0,False,2022-08-05T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,141711,0,0,1,Smith Rowe,3
13,1,7,6,False,2022-08-05T19:00:00Z,0,2,1,90,0,1,1,0,0,0,0,0,0,0,0,10,1.8,7.6,36.0,4.5,80,0,1772492,0,0,1,Saka,3
14,1,7,0,False,2022-08-05T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,172673,0,0,1,Tomiyasu,2
15,1,7,6,False,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,2,0,25,19.0,0.0,0.0,1.9,50,0,1128297,0,0,1,Ramsdale,1
16,1,7,7,False,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,0,1,26,24.2,0.6,2.0,2.7,50,0,689975,0,0,1,Gabriel,2
17,1,7,0,False,2022-08-05T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,2728,0,0,1,Tavares,2
18,1,7,1,False,2022-08-05T19:00:00Z,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,45,0,19266,0,0,1,Sambi,3
19,1,7,8,False,2022-08-05T19:00:00Z,0,2,1,90,1,0,1,0,0,0,0,0,0,0,0,23,38.2,15.2,39.0,9.2,60,0,1728741,0,0,1,Martinelli,3
20,1,7,0,False,2022-08-05T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,4463,0,0,1,Pablo Marí,2
21,1,7,0,False,2022-08-05T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,4894,0,0,1,Maitland-Niles,3
22,1,7,0,False,2022-08-05T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,39173,0,0,1,Torreira,3
23,1,7,0,False,2022-08-05T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,2725,0,0,1,Nelson,3
24,1,7,0,False,2022-08-05T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,60915,0,0,1,Turner,1
25,1,7,0,False,2022-08-05T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,15311,0,0,1,Fábio Vieira,3
26,1,7,8,False,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,0,2,30,22.2,0.1,0.0,2.2,45,0,163701,0,0,1,Saliba,2
27,1,7,0,False,2022-08-05T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,8331,0,0,1,Marquinhos,3
